gene	cluster	silhouette	mean_log2_expression	log2_range	correlation_to_centroid	z_S1	z_S2	z_S3	z_S4	z_S5	z_S6	z_S7	z_S8	z_S9	log2_S1	log2_S2	log2_S3	log2_S4	log2_S5	log2_S6	log2_S7	log2_S8	log2_S9
G5245	3	0.4797	10.9521	0.4514	0.8915	1.4739	0.2453	1.9569	-0.9296	-0.7104	-0.0256	-0.3625	-1.0232	-0.6246	11.1754	10.9893	11.2486	10.8113	10.8445	10.9482	10.8972	10.7971	10.8575
G5246	3	0.5371	11.2741	0.8936	0.9398	1.7859	0.7671	1.2478	-0.5783	-1.2437	0.1756	-0.3736	-0.7719	-1.0089	11.8009	11.5004	11.6422	11.1035	10.9072	11.3259	11.1639	11.0464	10.9765
G5247	0	0.4686	13.3448	1.2885	0.8925	-1.6867	-1.1270	-0.9111	1.2413	1.3557	-0.0885	0.3394	0.1482	0.7287	12.6305	12.8675	12.9589	13.8705	13.9190	13.3073	13.4886	13.4076	13.6534
G5248	1	-0.0364	10.4611	1.2298	0.7797	-0.7758	-1.1848	-0.2481	2.3049	0.7908	0.3951	-0.7344	-0.5471	-0.0007	10.1877	10.0436	10.3737	11.2734	10.7398	10.6004	10.2023	10.2683	10.4609
G5249	3	0.2300	13.6833	0.5118	0.5507	0.8629	0.1200	1.2658	0.8506	-2.2491	0.4643	-0.4698	-0.2435	-0.6011	13.8090	13.7008	13.8676	13.8072	13.3559	13.7509	13.6149	13.6479	13.5958
G5250	3	0.5868	11.1758	0.9666	0.9751	1.5107	1.3280	1.3549	-0.8277	-0.4887	-0.5726	-0.8238	-0.9546	-0.5262	11.7681	11.6965	11.7071	10.8513	10.9842	10.9513	10.8528	10.8015	10.9695
G5251	0	0.3607	6.4863	0.7846	0.7527	-1.2591	-0.3551	-1.1746	-0.0811	0.4776	-0.8867	1.0037	0.3338	1.9415	6.1776	6.3992	6.1983	6.4664	6.6033	6.2689	6.7323	6.5681	6.9622
G5252	3	0.4750	10.9526	0.4867	0.9234	1.6988	1.3018	0.7018	-1.3177	-0.9972	-0.0508	-0.4801	0.1177	-0.9743	11.2267	11.1627	11.0658	10.7400	10.7918	10.9444	10.8752	10.9716	10.7955
G5253	0	0.3357	11.1193	0.7976	0.7563	-1.4853	-1.5919	-0.0593	1.0371	0.8730	0.5784	0.4428	-0.8635	1.0688	10.6741	10.6421	11.1015	11.4302	11.3810	11.2927	11.2520	10.8605	11.4397
G5254	0	0.3041	7.6773	0.9288	0.6529	-0.6920	0.0409	-1.7877	1.2755	0.0916	-0.3992	-0.1819	-0.2056	1.8584	7.5010	7.6878	7.2219	8.0023	7.7007	7.5756	7.6310	7.6250	8.1508
G5255	0	0.5919	9.2807	2.0225	0.9890	-1.4546	-1.4476	-1.3113	0.5931	0.7928	0.7439	0.5443	0.6048	0.9346	8.0494	8.0553	8.1707	9.7828	9.9518	9.9104	9.7414	9.7927	10.0719
G5256	3	0.1506	9.1524	0.2367	0.4666	0.2169	0.0127	2.0536	-1.0898	0.6266	-1.3772	-0.4256	-0.7425	0.7252	9.1673	9.1532	9.2940	9.0772	9.1956	9.0574	9.1230	9.1011	9.2024
G5257	3	0.4329	8.6799	0.7125	0.8251	1.2547	0.3402	1.8532	-0.8948	-0.1392	0.2924	-1.4428	-0.8438	-0.4200	8.9511	8.7535	9.0805	8.4865	8.6498	8.7431	8.3681	8.4975	8.5891
G5258	3	0.5849	9.4446	1.3427	0.9743	1.3410	1.5822	1.2789	-0.8048	-0.6007	-0.5886	-0.5748	-0.9644	-0.6689	10.1517	10.2789	10.1190	9.0203	9.1279	9.1343	9.1416	8.9361	9.0920
G5259	0	0.2443	9.5469	0.4747	0.6003	-0.7775	-0.6077	-0.9539	-0.8107	0.4256	0.6479	1.4916	-1.0234	1.6080	9.4067	9.4373	9.3749	9.4007	9.6237	9.6638	9.8161	9.3623	9.8371
G5260	3	0.5768	11.7042	0.3812	0.9510	1.3202	1.4468	1.3214	-0.5105	-0.3442	-0.2784	-0.9576	-1.1551	-0.8426	11.8976	11.9162	11.8978	11.6294	11.6538	11.6634	11.5639	11.5350	11.5808
G5261	0	0.5424	9.6764	1.0151	0.9563	-1.6408	-0.9748	-1.3872	1.3499	0.2197	0.5203	0.6802	0.4296	0.8030	9.1195	9.3455	9.2055	10.1346	9.7510	9.8530	9.9073	9.8222	9.9490
G5262	0	0.5273	11.4422	0.6906	0.9310	-1.5428	-1.2742	-1.1092	-0.1816	0.4692	0.5777	1.1799	1.0344	0.8466	11.0508	11.1190	11.1608	11.3961	11.5612	11.5887	11.7415	11.7046	11.6569
G5263	0	0.4095	11.1331	0.5756	0.8290	-1.7858	-1.4628	-0.2174	1.2792	1.0941	-0.0004	0.6267	-0.1470	0.6134	10.7978	10.8584	11.0923	11.3734	11.3386	11.1331	11.2508	11.1055	11.2483
G5264	3	0.5916	11.0368	1.2381	0.9835	1.5192	1.1850	1.3283	-0.9173	-0.8695	-0.0916	-0.6614	-0.3187	-1.1740	11.7352	11.5815	11.6474	10.6151	10.6371	10.9947	10.7327	10.8903	10.4971
G5265	2	-0.0390	8.7188	0.2405	0.1453	-1.0953	1.2689	-0.5332	0.3841	-0.2290	-1.8594	-0.0487	1.1413	0.9713	8.6346	8.8163	8.6778	8.7483	8.7012	8.5758	8.7150	8.8065	8.7935
G5266	2	0.0619	8.8801	0.2488	0.5221	0.4188	0.9465	-0.7219	-0.8258	-1.3913	0.6261	1.3636	0.8993	-1.3153	8.9180	8.9656	8.8149	8.8056	8.7545	8.9367	9.0033	8.9613	8.7614
G5267	1	0.1452	10.5141	0.5169	0.7602	-0.9419	-0.8580	1.0747	1.1795	1.2847	0.5471	-0.3597	-1.6325	-0.2937	10.3471	10.3620	10.7045	10.7231	10.7417	10.6110	10.4503	10.2248	10.4620
G5268	3	0.4867	10.2198	0.3261	0.8954	1.0687	1.5823	1.2721	-0.6153	-0.5780	-0.9024	0.1862	-1.2780	-0.7356	10.3416	10.4001	10.3648	10.1496	10.1539	10.1169	10.2410	10.0741	10.1359
G5269	0	0.5074	9.9860	0.6422	0.9293	-1.5160	-0.8530	-1.6051	1.0059	0.4715	1.2222	0.3454	0.2203	0.7088	9.6416	9.7922	9.6214	10.2145	10.0931	10.2636	10.0644	10.0360	10.1470
G5270	0	0.5491	10.3898	0.9636	0.9523	-1.3676	-1.4520	-1.0612	0.9335	0.3431	0.1704	0.5259	0.3294	1.5786	9.9550	9.9281	10.0524	10.6866	10.4989	10.4440	10.5570	10.4945	10.8917
G5271	1	0.0602	5.9872	1.0529	0.3527	-0.1473	1.2377	-1.5412	0.2240	1.3672	0.6689	0.3439	-1.4428	-0.7104	5.9338	6.4353	5.4293	6.0683	6.4821	6.2293	6.1117	5.4649	5.7300
G5272	3	0.6115	13.0157	2.4054	0.9748	1.4436	1.3266	1.3662	-0.4176	-0.4635	-0.4358	-0.9163	-0.7780	-1.1252	14.3675	14.2579	14.2950	12.6246	12.5816	12.6077	12.1577	12.2872	11.9621
G5273	2	0.1164	7.7266	0.5182	0.5970	0.2356	-1.1835	0.0981	-1.3584	-1.4375	1.1408	1.2238	0.6029	0.6782	7.7725	7.4962	7.7457	7.4621	7.4467	7.9488	7.9649	7.8440	7.8587
G5274	3	0.6012	12.2437	0.6982	0.9754	1.5388	1.1234	1.3953	-0.3853	-0.7372	-0.4852	-0.6246	-0.4435	-1.3817	12.6116	12.5123	12.5773	12.1516	12.0675	12.1277	12.0944	12.1377	11.9134
G5275	1	0.0662	9.2005	0.7505	0.6591	-1.3023	0.2569	0.1780	2.3999	0.0970	-0.4463	-0.9443	-0.5182	0.2794	8.9365	9.2526	9.2366	9.6870	9.2202	9.1100	9.0091	9.0955	9.2571
G5276	3	0.5344	12.3188	0.4441	0.9449	1.8077	0.9505	1.0701	-0.5190	-1.2346	-0.3938	-0.3791	-0.0411	-1.2607	12.5804	12.4563	12.4736	12.2437	12.1401	12.2618	12.2639	12.3128	12.1363
G5277	1	0.0082	10.8700	0.2766	0.1321	-1.6695	0.1221	2.0613	0.4013	-0.6539	-0.0645	-0.6381	0.8732	-0.4317	10.7462	10.8790	11.0228	10.8997	10.8215	10.8652	10.8227	10.9347	10.8380
G5278	0	0.5422	11.2796	1.3802	0.9316	-1.1975	-1.5933	-1.2109	0.3663	0.2134	0.4435	0.9077	1.3646	0.7062	10.7208	10.5361	10.7145	11.4505	11.3792	11.4865	11.7031	11.9163	11.6091
G5279	0	0.3731	9.9356	0.3201	0.7715	-1.6862	-0.1104	-1.2703	1.6367	0.2700	-0.3426	-0.2775	0.8878	0.8925	9.7732	9.9249	9.8132	10.0932	9.9616	9.9026	9.9089	10.0211	10.0216
G5280	3	0.5424	11.7116	0.5466	0.9263	1.5983	1.2722	1.0739	0.1132	-1.0674	-0.3102	-0.7711	-1.0194	-0.8895	12.0394	11.9725	11.9318	11.7349	11.4928	11.6481	11.5535	11.5026	11.5293
G5281	3	0.5997	15.8333	2.6615	0.9739	1.3946	1.3610	1.4583	-0.5303	-0.4911	-0.7584	-0.8062	-0.8574	-0.7705	17.4361	17.3976	17.5093	15.2238	15.2689	14.9617	14.9067	14.8479	14.9477
G5282	3	0.6124	14.6898	1.6237	0.9781	1.4651	1.4101	1.2775	-0.4374	-0.5211	-0.4596	-0.9092	-0.7302	-1.0950	15.6190	15.5841	15.5000	14.4124	14.3593	14.3983	14.1131	14.2266	13.9953
G5283	0	0.5465	8.8709	0.4813	0.9438	-2.0083	-1.0318	-0.8967	0.8043	0.1701	0.5519	1.1504	0.6142	0.6459	8.5648	8.7136	8.7342	8.9934	8.8968	8.9550	9.0462	8.9645	8.9693
G5284	0	0.1897	7.8010	1.0457	0.5019	-0.5997	-0.9993	-0.2798	2.0797	-0.6281	-0.8535	-0.3272	0.2057	1.4022	7.5973	7.4616	7.7060	8.5074	7.5877	7.5111	7.6899	7.8709	8.2773
G5285	0	0.2627	7.8132	0.5953	0.5402	-1.4613	0.9483	-1.2966	0.7589	-0.4542	-0.2163	-0.2178	0.0956	1.8434	7.5500	7.9840	7.5797	7.9499	7.7314	7.7742	7.7740	7.8304	8.1452
G5286	3	0.5313	11.8007	0.8984	0.9625	1.3638	1.3242	1.4044	-1.1195	-0.9460	-0.8459	-0.2266	-0.3294	-0.6250	12.2861	12.2720	12.3006	11.4022	11.4639	11.4996	11.7200	11.6834	11.5782
G5287	3	0.2955	9.9360	0.6044	0.6051	0.7003	0.6625	1.5128	0.2881	0.2300	-2.2610	-0.1119	-0.4984	-0.5224	10.0482	10.0421	10.1783	9.9822	9.9729	9.5739	9.9181	9.8562	9.8524
G5288	3	0.5989	12.2745	0.5507	0.9852	1.5369	1.0167	1.6266	-0.7638	-0.5821	-0.7124	-0.7340	-0.5780	-0.8099	12.6219	12.5043	12.6422	12.1019	12.1430	12.1135	12.1086	12.1439	12.0915
G5289	0	0.3857	10.0012	0.3872	0.7456	-0.5691	-0.9981	-1.6272	0.3523	-0.5639	0.8624	-0.1324	1.6903	0.9857	9.9348	9.8848	9.8113	10.0424	9.9354	10.1019	9.9858	10.1985	10.1163
G5290	2	0.0315	9.0191	0.1223	0.5554	0.2623	0.7171	0.0274	-1.0950	-1.9820	1.2218	0.4117	1.0934	-0.6567	9.0292	9.0465	9.0202	8.9773	8.9435	9.0658	9.0349	9.0609	8.9941
G5291	1	0.1449	9.9229	0.9839	0.8690	-0.8175	-0.2646	-0.0816	1.5634	1.3786	0.9226	-0.4233	-1.5170	-0.7608	9.6618	9.8384	9.8968	10.4223	10.3633	10.2176	9.7877	9.4383	9.6799
G5292	3	0.5826	9.2378	0.6734	0.9822	1.7716	0.8300	1.4445	-0.7716	-0.9986	-0.4035	-0.4392	-0.4809	-0.9522	9.6684	9.4395	9.5889	9.0502	8.9950	9.1397	9.1310	9.1208	9.0063
G5293	2	-0.0862	9.3651	0.1666	0.1267	1.1899	1.1431	-1.5187	0.0132	-1.2431	1.2931	-0.1403	0.1118	-0.8490	9.4356	9.4329	9.2751	9.3659	9.2915	9.4417	9.3568	9.3717	9.3148
G5294	3	0.4803	9.4495	0.6881	0.8696	1.5316	0.6824	1.4239	-0.0711	-0.5970	-0.4891	-1.5679	0.1290	-1.0418	9.7895	9.6010	9.7657	9.4337	9.3170	9.3410	9.1015	9.4782	9.2182
G5295	1	-0.0577	5.6936	1.5278	0.5130	2.1965	0.1040	-0.8787	0.7652	0.3129	0.2122	-1.2755	-0.7695	-0.6672	6.6602	5.7394	5.3070	6.0304	5.8313	5.7870	5.1324	5.3551	5.4001
G5296	3	0.4048	9.0451	0.5383	0.8580	1.5822	1.4500	0.7424	-0.6676	-1.2650	-1.1114	-0.1752	-0.7119	0.1565	9.3442	9.3192	9.1854	8.9189	8.8059	8.8349	9.0120	8.9105	9.0747
G5297	3	0.3853	5.8073	1.1394	0.8191	1.6401	1.3599	0.6735	-0.6836	-0.5180	-1.4738	-0.9178	-0.3965	0.3161	6.4074	6.3049	6.0537	5.5572	5.6178	5.2680	5.4715	5.6622	5.9230
G5298	0	0.5002	10.1734	0.3905	0.9156	-1.5796	-0.7380	-1.5609	1.1982	-0.0087	0.9334	0.2417	0.8358	0.6781	9.9513	10.0696	9.9540	10.3418	10.1722	10.3046	10.2074	10.2909	10.2687
G5299	0	0.4861	9.1089	0.7513	0.9122	-1.2724	-1.0309	-1.4491	1.3965	0.7402	0.1267	0.0332	0.1607	1.2951	8.7729	8.8367	8.7263	9.4776	9.3043	9.1423	9.1176	9.1513	9.4508
G5300	0	0.5043	10.8180	0.7624	0.8838	-1.3237	-0.6894	-1.4923	0.6840	0.7654	-0.6308	1.0324	0.2527	1.4015	10.4692	10.6363	10.4248	10.9982	11.0196	10.6518	11.0900	10.8845	11.1872
G5301	3	0.3541	9.7120	0.4655	0.7345	0.7284	-0.0148	2.2616	-0.8058	-0.0064	0.4936	-0.6721	-0.8497	-1.1349	9.8118	9.7099	10.0219	9.6015	9.7111	9.7796	9.6199	9.5955	9.5564
G5302	0	0.5467	13.7207	2.0772	0.9589	-1.5500	-1.0352	-1.4279	1.0572	0.9932	0.2809	0.7358	0.0761	0.8699	12.4858	12.8959	12.5830	14.5630	14.5120	13.9445	14.3070	13.7813	14.4138
G5303	3	0.3344	5.7191	1.1493	0.6925	-0.1178	1.9110	1.4350	-0.5921	0.2287	-1.2347	-0.8661	0.0090	-0.7731	5.6761	6.4173	6.2434	5.5028	5.8027	5.2680	5.4027	5.7224	5.4367
G5304	3	0.4703	9.6295	0.6494	0.8992	1.1827	1.9585	0.7091	-0.9030	-0.5544	-0.7593	0.1168	-0.7814	-0.9691	9.8918	10.0639	9.7868	9.4292	9.5065	9.4611	9.6554	9.4562	9.4145
G5305	1	-0.1031	12.3672	0.6693	0.7498	-0.7061	-1.2544	-0.6575	2.1568	0.6291	0.9288	-0.6226	-0.4441	-0.0301	12.2286	12.1210	12.2382	12.7903	12.4906	12.5494	12.2450	12.2800	12.3613
G5306	3	0.4632	10.2184	0.3811	0.8732	1.2329	0.7977	1.6133	-0.3314	-0.4545	0.3960	-1.4759	-0.8240	-0.9542	10.3705	10.3168	10.4174	10.1775	10.1623	10.2673	10.0363	10.1167	10.1007
G5307	0	0.3412	12.7284	1.1199	0.7761	-1.4419	-1.2989	-0.6938	1.4780	0.9809	0.8163	0.7848	-0.5657	-0.0596	12.1754	12.2303	12.4623	13.2953	13.1046	13.0415	13.0294	12.5115	12.7056
G5308	0	0.1457	10.9458	0.3647	0.3741	0.0943	-1.1063	-0.3849	1.4069	0.7388	-1.6896	0.6784	-0.8027	1.0651	10.9569	10.8155	10.9004	11.1115	11.0328	10.7468	11.0257	10.8512	11.0712
G5309	0	0.1879	6.7047	0.5772	0.4733	-0.5754	-0.1929	-1.0590	-0.2545	-1.0883	1.2812	-0.8170	0.9714	1.7344	6.5870	6.6652	6.4881	6.6526	6.4821	6.9667	6.5376	6.9033	7.0593
G5310	3	0.6090	12.6909	1.6244	0.9879	1.5150	1.3305	1.3603	-0.5021	-0.8342	-0.7255	-0.6014	-0.6003	-0.9423	13.6924	13.5704	13.5902	12.3589	12.1394	12.2113	12.2933	12.2940	12.0680
G5311	3	0.5989	6.4546	3.0181	0.9754	1.2925	1.5677	1.3532	-0.5591	-0.5787	-0.7099	-0.6710	-0.8056	-0.8889	8.0426	8.3807	8.1171	5.7677	5.7436	5.5825	5.6303	5.4649	5.3625
G5312	3	0.4534	5.9076	2.0688	0.8632	1.4642	1.0764	1.1453	-0.1431	-0.3894	0.1602	-0.9884	-1.6665	-0.6586	6.8752	6.6189	6.6645	5.8131	5.6503	6.0135	5.2545	4.8063	5.4724
G5313	1	-0.0469	10.0061	0.3583	0.4757	-1.1678	-0.5175	0.2478	2.5535	-0.6149	-0.3430	0.2248	-0.4804	0.0974	9.8937	9.9563	10.0300	10.2520	9.9469	9.9731	10.0278	9.9599	10.0155
G5314	3	0.5486	12.8527	1.6269	0.9701	1.6629	1.4363	0.9736	-1.0154	-0.8080	-0.8256	-0.3704	-0.2380	-0.8154	13.8628	13.7251	13.4440	12.2359	12.3618	12.3512	12.6277	12.7081	12.3574
G5315	3	0.5908	8.6321	2.6122	0.9686	1.2578	1.5980	1.3525	-0.5978	-0.5364	-0.6494	-0.8276	-0.8623	-0.7348	9.9676	10.3288	10.0681	7.9974	8.0626	7.9427	7.7534	7.7166	7.8519
G5316	0	0.3514	12.0405	0.2027	0.7050	-0.7497	-1.3512	-0.9274	1.6405	-1.1200	0.4015	1.0064	0.6669	0.4330	11.9897	11.9489	11.9776	12.1516	11.9646	12.0677	12.1086	12.0856	12.0698
G5317	0	0.5877	15.5580	0.9419	0.9810	-1.7034	-1.3914	-1.0594	0.6485	0.6549	0.3935	0.8000	0.9349	0.7223	14.9498	15.0613	15.1798	15.7895	15.7918	15.6985	15.8436	15.8918	15.8159
G5318	0	0.3450	15.1722	0.3420	0.7072	-1.9479	-0.9043	-0.1001	-0.7637	1.2994	0.2411	1.2706	0.5626	0.3422	14.9671	15.0770	15.1617	15.0918	15.3091	15.1976	15.3061	15.2315	15.2083
G5319	3	0.5551	11.3084	0.6366	0.9396	1.3275	1.5406	1.0404	-0.2576	-1.0086	-0.2879	-0.6109	-0.2708	-1.4727	11.5889	11.6339	11.5282	11.2540	11.0954	11.2476	11.1794	11.2512	10.9973
G5320	2	-0.1310	9.1644	0.2342	0.7295	1.3199	0.2840	0.9009	-2.3051	-0.3858	0.2688	-0.7645	0.4245	0.2573	9.2496	9.1827	9.2226	9.0154	9.1394	9.1817	9.1150	9.1918	9.1810
G5321	0	0.5185	10.5167	0.4273	0.9094	-0.7930	-1.2893	-1.6677	0.4262	0.2066	0.1310	0.3805	1.0323	1.5735	10.4121	10.3467	10.2968	10.5729	10.5439	10.5340	10.5669	10.6528	10.7241
G5322	3	0.5209	10.8895	0.9862	0.9420	1.4894	1.0227	1.2959	-1.4206	-0.4807	0.0918	-0.8488	-0.1178	-1.0318	11.3942	11.2360	11.3286	10.4080	10.7265	10.9206	10.6018	10.8495	10.5398
G5323	1	-0.0507	10.4968	0.5956	0.7791	-1.0903	-0.9619	-0.2388	2.3208	0.7101	0.5375	-0.6597	-0.4184	-0.1993	10.3064	10.3288	10.4551	10.9020	10.6208	10.5907	10.3816	10.4238	10.4620
G5324	3	0.3156	8.4234	0.5838	0.7652	1.0629	1.1450	0.8955	-1.8576	0.7174	-0.4483	0.0554	-0.3638	-1.2065	8.6300	8.6460	8.5975	8.0622	8.5628	8.3362	8.4341	8.3527	8.1888
G5325	3	0.5926	12.2256	0.4506	0.9744	1.3731	1.2726	1.5503	-0.4131	-0.9145	-0.7896	-0.6214	-0.6489	-0.8086	12.4766	12.4583	12.5090	12.1501	12.0584	12.0813	12.1120	12.1070	12.0778
G5326	1	-0.0557	5.6816	1.1091	0.1490	-0.1230	-0.2809	-0.3101	0.9237	-1.5651	0.6275	-1.3916	0.3777	1.7419	5.6404	5.5874	5.5776	5.9914	5.1568	5.8921	5.2149	5.8083	6.2658
G5327	3	0.4603	8.9276	0.8227	0.8819	1.6044	1.1172	1.0024	-0.1717	-1.2344	-1.2464	-0.1355	0.0843	-1.0203	9.3907	9.2501	9.2169	8.8781	8.5714	8.5679	8.8885	8.9519	8.6332
G5328	3	0.4799	10.8672	0.4167	0.9147	1.0408	1.8335	1.0462	-0.9183	-1.3320	-0.3445	-0.6678	-0.1532	-0.5047	11.0042	11.1085	11.0049	10.7463	10.6918	10.8218	10.7793	10.8470	10.8007
G5329	3	0.1746	10.9576	0.2544	0.3899	1.6313	0.3525	-0.2770	1.3518	-1.7753	-1.0659	-0.0603	-0.1372	-0.0198	11.0795	10.9840	10.9370	11.0586	10.8251	10.8780	10.9531	10.9474	10.9562
G5330	3	0.5419	8.2745	1.0733	0.9434	1.6935	1.0215	1.2220	-0.4111	-0.7079	-0.9389	0.0279	-0.6184	-1.2886	8.8840	8.6421	8.7143	8.1265	8.0197	7.9365	8.2845	8.0519	7.8107
G5331	0	0.4863	11.1775	1.2348	0.9077	-1.1953	-1.3935	-1.4534	0.9367	0.8500	1.2557	0.3760	0.3601	0.2637	10.6326	10.5423	10.5150	11.6044	11.5649	11.7498	11.3489	11.3416	11.2977
G5332	1	-0.1676	8.8467	0.3621	0.3607	0.3585	0.6246	1.4360	1.3658	-0.7955	-1.3127	-1.4535	0.0616	-0.2848	8.8916	8.9250	9.0267	9.0179	8.7470	8.6822	8.6645	8.8544	8.8110
G5333	3	0.6051	11.6352	1.2996	0.9797	1.3342	1.2988	1.5479	-0.6793	-0.5013	-0.5065	-1.0024	-0.5856	-0.9057	12.3151	12.2970	12.4240	11.2891	11.3798	11.3771	11.1244	11.3368	11.1737
G5334	3	0.5465	12.1804	0.4177	0.9253	1.4934	1.2934	1.2589	-0.2307	-0.2219	-1.2128	-0.9357	-0.6234	-0.8212	12.4109	12.3800	12.3747	12.1448	12.1462	11.9932	12.0360	12.0842	12.0537
G5335	2	-0.1110	10.9198	0.3991	0.4898	0.7152	1.7219	-0.2008	-0.1047	-1.5264	-1.4655	0.0987	0.9702	-0.2086	11.0077	11.1314	10.8951	10.9069	10.7322	10.7397	10.9319	11.0390	10.8942
G5336	1	0.0698	15.5923	0.6630	0.6500	0.3160	0.2123	0.6921	1.0969	0.0053	0.3475	-0.2691	-2.6318	0.2308	15.6485	15.6301	15.7154	15.7874	15.5933	15.6541	15.5445	15.1243	15.6333
G5337	2	0.0179	11.3703	0.1484	0.1038	0.8919	0.8943	-1.8729	0.5726	-1.5494	0.3998	-0.4206	0.1930	0.8913	11.4181	11.4183	11.2698	11.4010	11.2872	11.3917	11.3477	11.3807	11.4181
G5338	3	0.5476	11.8413	0.4670	0.9486	1.4625	1.4934	1.0272	-0.3753	-1.2718	-0.4334	-0.1637	-0.6560	-1.0829	12.0882	12.0935	12.0147	11.7779	11.6265	11.7681	11.8136	11.7305	11.6584
G5339	3	0.6115	10.9262	1.1767	0.9919	1.4120	1.2790	1.4548	-0.8975	-0.5871	-0.3342	-0.5491	-0.6546	-1.1234	11.5706	11.5099	11.5901	10.5166	10.6582	10.7736	10.6756	10.6274	10.4135
G5340	0	0.3171	15.5797	0.7403	0.7104	-1.4135	-0.9607	-0.6792	-1.2833	0.9652	1.0736	1.0432	0.7021	0.5525	15.1590	15.2938	15.3775	15.1977	15.8670	15.8993	15.8902	15.7887	15.7442
G5341	3	0.4789	11.4114	0.5763	0.9307	1.2809	1.0944	1.5754	-1.2050	-0.9118	-0.9168	0.1102	-0.4243	-0.6031	11.6769	11.6382	11.7379	11.1617	11.2224	11.2214	11.4343	11.3235	11.2864
G5342	2	0.0317	12.8586	0.1886	0.2368	-0.9648	0.7453	1.1036	-1.0923	1.1829	-1.2593	0.5932	-1.0811	0.7725	12.7841	12.9162	12.9439	12.7743	12.9500	12.7614	12.9044	12.7751	12.9183
G5343	2	-0.0697	6.0142	0.4240	0.3076	0.5694	-0.3987	1.3592	-1.3947	1.3908	-1.3150	-0.8922	0.4685	0.2127	6.1008	5.9535	6.2211	5.8019	6.2259	5.8140	5.8784	6.0855	6.0465
G5344	2	0.0011	5.8923	0.7074	0.2928	0.7126	-0.5717	0.5050	-0.5201	0.6885	-1.5704	0.3860	1.6820	-1.3120	6.0473	5.7680	6.0021	5.7792	6.0420	5.5507	5.9763	6.2581	5.6069
G5345	0	0.4021	10.8231	1.1826	0.7917	-1.7760	-0.1641	-0.9953	0.2173	-0.1266	-0.4982	0.7678	0.7344	1.8407	10.2424	10.7694	10.4976	10.8941	10.7817	10.6602	11.0742	11.0632	11.4250
G5346	0	0.4539	9.9667	0.9068	0.8830	-1.0335	-1.2830	-1.6271	1.1967	0.8360	1.1440	0.2783	0.2755	0.2129	9.6348	9.5547	9.4442	10.3510	10.2351	10.3340	10.0561	10.0552	10.0351
G5347	3	0.4544	12.2290	1.5843	0.8603	1.1710	1.5622	1.0478	0.0262	-0.1120	-0.3280	-1.0669	-1.4546	-0.8457	12.8440	13.0494	12.7793	12.2428	12.1702	12.0568	11.6688	11.4651	11.7849
G5348	2	-0.0926	11.3623	0.1974	0.3149	0.0646	-1.8026	0.1470	0.1085	-1.1933	-0.6946	1.1063	1.2309	1.0332	11.3665	11.2450	11.3718	11.3693	11.2846	11.3171	11.4343	11.4424	11.4295
G5349	3	0.5507	10.0080	1.3068	0.9581	1.4846	1.3841	1.0743	-0.8477	-0.6360	-0.6100	-0.2415	-0.1406	-1.4673	10.6652	10.6207	10.4836	9.6327	9.7264	9.7379	9.9011	9.9458	9.3584
G5350	0	0.2954	11.8226	0.5318	0.7454	-0.9785	-1.0789	-1.3710	1.5711	0.8010	1.3518	-0.0269	-0.0230	-0.2456	11.6457	11.6276	11.5748	12.1066	11.9674	12.0670	11.8177	11.8184	11.7782
G5351	1	0.1644	9.5497	0.4322	0.6012	0.8444	-1.2321	0.0941	0.3410	1.9609	0.5515	-0.4016	-1.1255	-1.0327	9.6640	9.3829	9.5625	9.5959	9.8151	9.6244	9.4953	9.3974	9.4099
G5352	3	0.3241	10.5504	0.4548	0.6611	0.7503	2.2482	-0.0453	0.3681	-1.3128	-0.2726	-1.0793	-0.1456	-0.5110	10.6462	10.8375	10.5446	10.5974	10.3827	10.5156	10.4126	10.5318	10.4851
G5353	0	0.4741	11.4418	0.7989	0.8992	-1.4801	-1.1742	-1.2838	1.2634	0.2648	1.2827	0.5534	0.2915	0.2824	11.0138	11.1022	11.0706	11.8071	11.5183	11.8127	11.6018	11.5260	11.5234
G5354	0	0.4175	8.6292	0.6762	0.8459	-2.1073	-0.6808	-0.7875	0.8817	0.5094	1.2455	-0.3142	0.6696	0.5836	8.2042	8.4919	8.4703	8.8070	8.7319	8.8803	8.5658	8.7642	8.7469
G5355	1	-0.0943	9.1840	0.3066	0.1989	-0.9125	-1.1639	0.8372	2.0371	-0.8898	-0.8579	0.0180	0.4651	0.4667	9.0966	9.0725	9.2642	9.3792	9.0988	9.1018	9.1857	9.2286	9.2287
G5356	1	-0.0327	9.4380	0.4612	0.4950	-0.1581	-0.1716	1.6504	-0.3029	1.0884	0.8253	-0.0112	-1.4517	-1.4686	9.4146	9.4126	9.6820	9.3932	9.5990	9.5601	9.4364	9.2234	9.2209
G5357	0	0.4326	5.8418	1.5192	0.8302	-0.6063	-0.8550	-2.0300	0.5793	0.3307	1.0240	0.6406	-0.3951	1.3118	5.5662	5.4532	4.9190	6.1052	5.9922	6.3074	6.1331	5.6622	6.4382
G5358	3	0.4366	9.1241	0.4955	0.8188	0.7492	1.2757	1.6856	0.5216	-0.8085	-1.1388	-0.7386	-0.7169	-0.8293	9.2555	9.3479	9.4198	9.2156	8.9823	8.9243	8.9945	8.9983	8.9786
